Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
7.10.2015 klo 21.04.45	#N/A	Uusimaa	Ammattillinen koulutus	En	Racket (7-9)		HTML, CSS	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	2-3h	Mies	36-45	Muu	
7.10.2015 klo 21.17.13	#N/A	Kanta-Häme	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Hämeenlinna
7.10.2015 klo 21.20.42	#N/A	Varsinais-Suomi	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Nousiainen
7.10.2015 klo 21.26.46	#N/A	Pirkanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6)	Olen luokanopettaja, Matematiikka	Java	Olen opiskelija, joten en ole vielä ehtinyt opettaa ohjelmointia	Käytän niin paljon kuin se vaatii	Nainen	25-35	Opiskelija (opettajaksi valmistuva)	
7.10.2015 klo 22.23.06	#N/A	Etelä-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	En tiedä vielä	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Sijainen, määräaikainen (opettaja)	Mikkeli
8.10.2015 klo 6.55.23	#N/A	Keski-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	Scratch	Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Uurainen
8.10.2015 klo 7.11.53	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Terveystieto	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Liminka
8.10.2015 klo 7.28.44	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	En	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, Code.org, Turtle Roy, Lego RXT, NXT tai EV3, JavaScript, C/C++, Java, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
8.10.2015 klo 7.33.05	#N/A	Pohjois-Pohjanmaa	Esiopetus	En	ScratchJr (E-2)	Lastentarhanopettajaa 	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
8.10.2015 klo 7.47.16	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Kuusamo
8.10.2015 klo 7.52.45	#N/A	Etelä-Karjala	Perusopetus luokat 1-2	Kyllä, olen suorittanut loppuun asti	En tiedä vielä	Olen luokanopettaja	ScratchJr, Scratch, Hopscotch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Lappeenranta
8.10.2015 klo 7.54.44	#N/A	Pohjois-Pohjanmaa	Yliopisto	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Oulu
8.10.2015 klo 7.56.28	#N/A	Päijät-Häme	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6)	Olen erityisopettaja	ScratchJr, Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Lahti
8.10.2015 klo 8.01.23	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja		En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Kiiminki
8.10.2015 klo 8.09.22	#N/A	Pirkanmaa	Perusopetus luokat 3-6	Kyllä, mutta olen jättänyt kesken	Scratch (3-6)	Olen luokanopettaja, Mus.luokanope	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Silloin kun pysyn irrottamaan ajan	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Parkano 
8.10.2015 klo 8.19.04	#N/A	Etelä-Savo	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch, Code.org, Turtle Roy	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Mies	46-55	Vakinainen työsuhde (opettaja)	Savonlinna
8.10.2015 klo 8.32.56	141	Kanta-Häme	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Janakkala
8.10.2015 klo 8.41.59	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Mies	25-35	Vakinainen työsuhde (opettaja)	oulu
8.10.2015 klo 8.42.51	306	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Oulu
8.10.2015 klo 9.07.01	#N/A	Keski-Suomi	Perusopetus luokat 1-2	En	En tiedä vielä	Olen erityisopettaja	Pascal	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Jyväskylä
8.10.2015 klo 9.16.28	45	Etelä-Savo	Perusopetus luokat 7-9	En	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	ScratchJr, C/C++	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Joroinen
8.10.2015 klo 9.23.18	#N/A	Pirkanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6)	Olen luokanopettaja, Matematiikka	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Opiskelija (opettajaksi valmistuva)	
8.10.2015 klo 9.32.48	#N/A	Kanta-Häme	Ammattikorkeakoulu	En	ScratchJr (E-2), Scratch (3-6)	Fysiikka ja/tai kemia, Elektroniikka	Scratch, Turtle Roy, C/C++, Basic (Visual, Cool, tms), Assembler	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	Käytän niin paljon kuin se vaatii	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Forssa
8.10.2015 klo 9.40.12	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Musiikki	Scratch, Racket, Lego RXT, NXT tai EV3, Java, Picaxe Basic	Vedän ohjelmointikerhoa	0-1h	Mies	25-35	Vakinainen työsuhde (opettaja)	Oulu
8.10.2015 klo 9.44.32	#N/A	Lappi	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Kuvataide	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Opiskelija (opettajaksi valmistuva)	
8.10.2015 klo 9.53.25	129	Päijät-Häme	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Mäntsälä
8.10.2015 klo 10.12.46	11	Etelä-Karjala	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	En tiedä vielä	Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Lappeenranta
8.10.2015 klo 10.22.13	96	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Scratch (3-6), Racket (7-9)	Kaupalliset aineet, Näppäilytaito, tvt	Scratch	En ole koskaan käyttänyt ohjelmointia opetustyössä	3-5h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Ylivieska
8.10.2015 klo 10.31.55	#N/A	Pohjois-Pohjanmaa	Yliopisto	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Olen luokanopettaja, Matematiikka, Fysiikka ja/tai kemia	ScratchJr, Scratch, C/C++, Java, HTML, CSS, LaTeX, MatLab	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	25-35	Vakinainen työsuhde (opettaja)	Oulu
8.10.2015 klo 10.32.37	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9, Lukio, Yliopisto	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	ScratchJr, Code.org, C/C++, Java, HTML, CSS, LaTex, MatLab	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Oulu
8.10.2015 klo 10.34.30	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tampere
8.10.2015 klo 11.35.21	26	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
8.10.2015 klo 12.24.24	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka	Lego RXT, NXT tai EV3, Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	36-45	Vakinainen työsuhde (opettaja)	Espoo
8.10.2015 klo 12.29.47	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	olen koulunkäynninohjaaja	En ole koskaan ohjelmoinut mitään	vielä uusi asia koulussamme	1-2h	Nainen	36-45	Muu	Äänekoski
8.10.2015 klo 12.46.12	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9, Lukio	En	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Scratch, Code.org	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	25-35	Muu	
8.10.2015 klo 13.04.17	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka	Logo, fortran	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Vantaa
8.10.2015 klo 13.30.09	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Helsinki
8.10.2015 klo 14.12.13	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En	En tiedä vielä	Olen luokanopettaja	Scratch, Code.org, Python, Picaxe Basic, Basic (Visual, Cool, tms), HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Mies	25-35	Sijainen, määräaikainen (opettaja)	Oulu
8.10.2015 klo 14.23.31	#N/A	Etelä-Pohjanmaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, C/C++, Java, Logo, Basic (Visual, Cool, tms), HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Mies	36-45	Vakinainen työsuhde (opettaja)	Jalasjärvi
8.10.2015 klo 15.12.36	#N/A	Kymenlaakso	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kotka
8.10.2015 klo 15.21.59	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET, Tietotekniikka, Käsityö, Kuvataide, Liikunta	ScratchJr, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Mies	25-35	Vakinainen työsuhde (opettaja)	Espoo
8.10.2015 klo 16.32.03	#N/A	Satakunta	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Huittinen
8.10.2015 klo 16.58.35	#N/A	Keski-Suomi		En	En tiedä vielä		C/C++, Basic (Visual, Cool, tms)	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Muu	
8.10.2015 klo 17.07.16	#N/A	Varsinais-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	En tiedä vielä	Olen luokanopettaja, Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Raasepori
8.10.2015 klo 17.44.00	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En	En tiedä vielä	Olen luokanopettaja, Käsityö, Kuvataide	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Oulu
8.10.2015 klo 18.04.37	2	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Kuvataide, Mediakurssi, animaatiokurssi	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Vihti
8.10.2015 klo 18.43.09	215	Keski-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Jämsä
8.10.2015 klo 18.46.33	#N/A	Pirkanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	C/C++, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Tampere
8.10.2015 klo 19.21.28	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	Turtle Roy	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Raasepori
8.10.2015 klo 19.31.36	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Mäntsälä
8.10.2015 klo 19.45.33	5	Uusimaa	aik. lukio ja 7-9, nyk. kehitys- ja koulutustyö	Kyllä, mutta olen jättänyt kesken	En tiedä vielä	aik. Ue+ps, nyk. täyd.koul.	Basic (Visual, Cool, tms), HTML, CSS	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	1-2h	Nainen	36-45	Muu	
8.10.2015 klo 20.00.32	#N/A	Uusimaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Terveystieto	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Opiskelija (opettajaksi valmistuva)	
8.10.2015 klo 20.14.49	#N/A	Pohjois-Karjala	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6), Racket (7-9)	Olen luokanopettaja, Matematiikka, Historia ja yhteiskuntaoppi	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	46-55	Vakinainen työsuhde (opettaja)	Outokumpu
8.10.2015 klo 20.41.04	#N/A	Pohjois-Savo	Perusopetus luokat 7-9	Kyllä, mutta olen jättänyt kesken	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Scratch, JavaScript, Java, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	tuusniemi
8.10.2015 klo 20.44.00	6	Lappi	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6), Racket (7-9)	Olen erityisopettaja, Tietotekniikka	ScratchJr, Scratch, Turtle Roy, Lego RXT, NXT tai EV3, Python	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Savukoski
8.10.2015 klo 20.55.17	303	Etelä-Savo	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Mies	46-55	Vakinainen työsuhde (opettaja)	Mikkeli
8.10.2015 klo 21.13.32	7	Lappi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	3-5h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Rovaniemi
8.10.2015 klo 21.22.30	#N/A	Pirkanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Lempäälä
8.10.2015 klo 22.08.48	8	Keski-Suomi	Ammattikorkeakoulu	Kyllä, olen suorittanut loppuun asti	En tiedä vielä	Ammatillisia opettajia	ScratchJr, Hopscotch, JavaScript, C/C++, Basic (Visual, Cool, tms), HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	0-1h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Jyväskylä
8.10.2015 klo 22.10.56	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
8.10.2015 klo 22.14.45	10	Päijät-Häme	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	C/C++, Java	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Hollola
8.10.2015 klo 23.47.29	#N/A	Uusimaa	Kansanopisto, työväenopisto	En	En tiedä vielä		Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Muu	Kerava
9.10.2015 klo 6.46.32	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
9.10.2015 klo 7.11.25	#N/A	Uusimaa	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	25-35	Vakinainen työsuhde (opettaja)	Espoo
9.10.2015 klo 7.17.31	#N/A	Pohjois-Savo	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Lego RXT, NXT tai EV3, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Suonenjoki
9.10.2015 klo 7.22.05	14	Satakunta	Perusopetus luokat 7-9, Lukio	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Säkylä
9.10.2015 klo 7.49.55	#N/A	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Vantaa
9.10.2015 klo 8.50.09	223	Satakunta	Perusopetus luokat 1-2	En	En tiedä vielä	Olen luokanopettaja, Matematiikka	ScratchJr, Scratch, Hopscotch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Pori
9.10.2015 klo 9.27.39	#N/A	Uusimaa	hankkeissa, tutkintojen ja arvioinnin kehittämisessä	En	En tiedä vielä		JavaScript, C/C++, Basic (Visual, Cool, tms), HTML, CSS		Käytän niin paljon kuin se vaatii	Nainen	46-55	Muu	
9.10.2015 klo 9.34.09	#N/A	Keski-Suomi		En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	
9.10.2015 klo 9.35.14	21	Satakunta	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Karvia
9.10.2015 klo 9.50.50	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Vihti
9.10.2015 klo 9.58.07	23	Keski-Suomi	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Jyväskylä
9.10.2015 klo 10.01.51	#N/A	Uusimaa	Perusopetus luokat 3-6	Kyllä, mutta olen jättänyt kesken	Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Liikunta	ScratchJr, Scratch, Racket, Code.org, Turtle Roy, Lego RXT, NXT tai EV3	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Helsinki
9.10.2015 klo 10.30.36	#N/A	Pohjois-Savo	Perusopetus luokat 1-2	En	ScratchJr (E-2), Scratch (3-6)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Leppävirta
9.10.2015 klo 11.11.26	#N/A	Pohjois-Karjala	Yliopisto	Kyllä, olen suorittanut loppuun asti	En tiedä vielä	Historia ja yhteiskuntaoppi, Pedagogiikka	En ole koskaan ohjelmoinut mitään, Code.org, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä, En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Joensuu
